PLAYER,TEAM,Period,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Johnny Furphy,IND,Q1,6.1,1.8,0.9,1.9,46.7,0.0,0.6,0.0,0.0,0.0,0.0,0.5,1.1,1.6,1.0,0.3,0.3,0.0,0.6,5.7,0.0,0.0,2.1
Justin Edwards,PHI,Q1,5.6,1.8,0.8,1.3,60.0,0.3,0.5,50.0,0.0,0.0,0.0,0.3,0.5,0.8,0.5,0.0,0.8,0.0,0.3,5.7,0.0,0.0,2.8
Jericho Sims,MIL,Q1,5.5,1.7,0.6,0.9,66.7,0.0,0.0,0.0,0.6,0.9,66.7,0.7,1.7,2.4,0.4,0.3,0.0,0.0,0.9,5.0,1.0,0.0,0.6
Sion James,CHA,Q1,5.0,1.7,0.6,1.2,50.0,0.4,0.8,50.0,0.1,0.1,100,0.1,1.1,1.2,0.9,0.7,0.0,0.0,0.6,3.8,0.0,0.0,0.3
Cameron Johnson,DEN,Q1,7.2,1.7,0.7,1.0,66.7,0.3,0.3,100,0.0,0.0,0.0,0.0,1.7,1.7,0.0,0.0,0.3,0.0,0.3,4.7,0.0,0.0,2.0
Gabe Vincent,ATL,Q1,5.5,1.7,0.7,1.5,44.4,0.3,1.0,33.3,0.0,0.0,0.0,0.0,0.2,0.2,0.7,0.2,0.3,0.0,0.0,3.7,0.0,0.0,5.8
Javonte Green,DET,Q1,3.7,1.7,0.5,1.0,50.0,0.2,0.7,25.0,0.5,0.5,100,0.0,1.0,1.0,0.0,0.3,0.3,0.0,0.2,3.5,0.0,0.0,1.7
Jordan Clarkson,NYK,Q1,4.5,1.7,0.7,1.0,66.7,0.3,0.5,66.7,0.0,0.0,0.0,0.3,0.2,0.5,0.3,0.0,0.0,0.2,0.3,3.3,0.0,0.0,-0.5
Kentavious Caldwell-Pope,MEM,Q1,5.6,1.7,0.7,1.9,35.3,0.1,0.7,16.7,0.2,0.2,100,0.0,0.6,0.6,0.8,0.2,0.2,0.0,0.4,3.9,0.0,0.0,-1.0
Quinten Post,GSW,Q1,4.1,1.6,0.5,1.5,33.3,0.4,1.3,30.0,0.3,0.3,100,0.1,1.0,1.1,0.4,0.1,0.0,0.3,0.4,4.2,0.0,0.0,1.0
Caris LeVert,DET,Q1,4.8,1.6,0.6,1.4,42.9,0.0,0.4,0.0,0.4,0.6,66.7,0.2,0.2,0.4,0.4,0.2,0.4,0.0,0.6,3.7,0.0,0.0,-2.2
Dalen Terry,PHI,Q1,5.6,1.6,0.8,1.8,44.4,0.0,0.8,0.0,0.0,0.2,0.0,0.2,0.8,1.0,0.6,0.0,0.4,0.0,0.2,4.9,0.0,0.0,-5.0
Danny Wolf,BKN,Q1,5.3,1.6,0.6,1.8,33.3,0.2,1.0,20.0,0.2,0.2,100,0.2,1.2,1.4,0.3,0.3,0.1,0.5,0.8,5.2,0.0,0.0,-1.8
Derrick Jones Jr.,LAC,Q1,6.1,1.6,0.6,1.2,50.0,0.4,0.8,50.0,0.0,0.0,0.0,0.2,0.8,1.0,0.4,0.4,0.4,0.4,0.8,5.4,0.0,0.0,-1.0
Herbert Jones,NOP,Q1,7.2,1.6,0.6,2.3,26.1,0.2,1.5,13.3,0.2,0.2,100,0.2,1.0,1.2,0.5,0.4,0.3,0.1,0.5,4.6,0.0,0.0,-1.6
Royce O'Neale,PHX,Q1,7.8,1.6,0.6,2.5,24.0,0.4,2.1,19.0,0.0,0.0,0.0,0.2,0.5,0.7,0.7,0.3,0.3,0.0,0.2,4.1,1.0,0.0,-1.2
Dru Smith,MIA,Q1,4.5,1.6,0.6,0.9,62.5,0.2,0.2,100,0.2,0.3,66.7,0.2,0.4,0.7,0.9,0.3,0.3,0.0,0.1,4.4,0.0,0.0,-1.4
Grant Williams,CHA,Q1,4.5,1.6,0.6,1.4,38.5,0.2,0.9,25.0,0.2,0.2,100,0.2,0.9,1.1,0.4,0.3,0.1,0.1,0.4,3.9,0.0,0.0,1.0
Donte DiVincenzo,MIN,Q1,7.0,1.5,0.5,1.7,29.4,0.5,1.4,35.7,0.0,0.0,0.0,0.3,0.6,0.9,1.3,0.4,0.9,0.1,0.2,7.1,0.0,0.0,0.8
Jabari Walker,PHI,Q1,5.8,1.5,0.5,1.5,33.3,0.5,0.5,100,0.0,0.0,0.0,0.5,1.5,2.0,0.0,0.0,1.0,0.0,0.0,6.9,0.0,0.0,-1.5
Julian Phillips,MIN,Q1,4.8,1.5,0.5,1.5,33.3,0.0,0.5,0.0,0.5,0.5,100,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,3.0,0.0,0.0,-1.5
Myron Gardner,MIA,Q1,5.3,1.5,0.5,1.5,33.3,0.2,0.8,20.0,0.3,0.3,100,0.3,1.3,1.7,0.5,0.0,0.3,0.2,1.2,5.8,1.0,0.0,-0.7
Yves Missi,NOP,Q1,4.1,1.5,0.8,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,1.4,0.4,0.3,0.0,0.1,0.5,3.8,1.0,0.0,1.6
Ziaire Williams,BKN,Q1,6.0,1.5,0.5,2.0,25.0,0.3,0.8,40.0,0.2,0.3,50.0,0.2,0.5,0.7,0.2,0.0,0.5,0.2,0.7,4.6,0.0,0.0,-2.7
Jrue Holiday,POR,Q1,6.2,1.4,0.7,2.6,26.1,0.1,0.9,12.5,0.0,0.0,0.0,0.3,0.4,0.8,1.2,0.6,0.2,0.0,0.4,4.3,0.0,0.0,-1.3
Micah Potter,IND,Q1,5.6,1.4,0.6,0.9,66.7,0.3,0.4,66.7,0.0,0.0,0.0,0.4,1.0,1.4,0.3,0.0,0.0,0.1,0.1,4.0,2.0,0.0,0.3
Baylor Scheierman,BOS,Q1,4.9,1.4,0.5,1.4,35.7,0.2,0.9,22.2,0.2,0.2,100,0.4,1.1,1.5,0.4,0.0,0.1,0.0,0.3,4.1,2.0,0.0,1.1
Clint Capela,HOU,Q1,4.0,1.4,0.6,1.2,50.0,0.0,0.0,0.0,0.2,0.2,100,0.8,1.2,2.0,0.1,0.2,0.2,0.3,0.0,5.3,0.0,0.0,-1.5
Jase Richardson,ORL,Q1,4.5,1.4,0.6,1.4,42.9,0.2,0.8,25.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.8,2.5,0.0,0.0,2.6
Kam Jones,IND,Q1,5.4,1.4,0.6,1.8,33.3,0.2,1.2,16.7,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.0,0.2,0.0,0.2,3.1,0.0,0.0,-4.6
Luka Garza,BOS,Q1,3.7,1.4,0.5,1.1,44.4,0.1,0.8,16.7,0.3,0.5,50.0,0.6,0.4,1.0,0.1,0.4,0.1,0.0,0.4,2.8,0.0,0.0,-1.5
Amari Williams,BOS,Q1,7.9,1.3,0.7,1.3,50.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,2.3,2.3,1.0,1.0,0.0,0.7,0.3,6.6,0.0,0.0,-2.3
Jae'Sean Tate,HOU,Q1,4.9,1.3,0.7,1.7,40.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.3,0.3,0.0,0.3,0.7,0.0,0.3,3.4,0.0,0.0,-2.3
Kyle Anderson,MEM,Q1,5.8,1.3,0.5,0.8,60.0,0.0,0.0,0.0,0.3,0.3,100,0.2,1.2,1.3,1.0,0.2,0.3,0.3,0.3,6.3,0.0,0.0,-1.0
Marcus Smart,LAL,Q1,6.8,1.3,0.6,1.7,33.3,0.2,0.9,25.0,0.0,0.0,0.0,0.1,0.4,0.6,0.7,0.4,0.1,0.1,0.8,3.2,0.0,0.0,-0.2
Rob Dillingham,CHI,Q1,3.6,1.3,0.7,1.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.0,0.3,0.0,0.0,0.7,2.6,0.0,0.0,-1.0
Harrison Barnes,SAS,Q1,6.3,1.3,0.4,1.6,25.0,0.1,1.1,9.1,0.4,0.6,66.7,0.1,0.6,0.7,0.8,0.1,0.0,0.0,0.3,3.2,0.0,0.0,3.1
Nae'Qwan Tomlin,CLE,Q1,5.1,1.3,0.5,1.3,38.5,0.0,0.4,0.0,0.3,0.4,75.0,0.3,0.7,1.0,0.4,0.3,0.2,0.0,0.4,3.4,0.0,0.0,-2.0
Keon Ellis,CLE,Q1,5.1,1.3,0.4,1.0,42.9,0.3,0.9,33.3,0.1,0.3,50.0,0.1,0.4,0.6,0.3,0.0,0.0,0.1,0.6,2.8,0.0,0.0,-1.9
Vít Krejčí,POR,Q1,5.4,1.3,0.6,2.1,26.7,0.1,1.6,9.1,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.0,0.4,0.0,0.1,3.7,0.0,0.0,-2.9
Cam Christie,LAC,Q1,2.9,1.3,0.5,1.3,40.0,0.3,0.3,100,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,1.6,0.0,0.0,-3.8
Carter Bryant,SAS,Q1,3.7,1.3,0.5,1.8,28.6,0.3,0.5,50.0,0.0,0.0,0.0,0.3,0.5,0.8,0.3,0.0,0.3,0.0,1.0,3.3,0.0,0.0,-0.3
Klay Thompson,DAL,Q1,4.8,1.3,0.5,2.0,25.0,0.1,1.3,10.0,0.1,0.1,100,0.1,0.6,0.8,0.4,0.9,0.3,0.0,0.5,2.6,0.0,0.0,-3.1
Adem Bona,PHI,Q1,3.3,1.2,0.6,0.9,62.5,0.0,0.0,0.0,0.1,0.2,50.0,0.7,0.3,1.0,0.1,0.1,0.1,0.0,0.7,2.8,0.0,0.0,-1.0
Brook Lopez,LAC,Q1,6.2,1.2,0.5,1.4,35.7,0.2,0.8,25.0,0.0,0.0,0.0,0.1,0.6,0.7,0.2,0.1,0.0,0.3,0.3,3.1,0.0,0.0,-2.9
Dwight Powell,DAL,Q1,5.7,1.2,0.4,1.0,40.0,0.0,0.0,0.0,0.4,0.8,50.0,1.2,1.6,2.8,0.4,0.2,0.2,0.0,0.6,5.6,1.0,0.0,-0.4
Jamal Shead,TOR,Q1,6.2,1.2,0.5,1.7,29.4,0.1,0.6,16.7,0.1,0.2,50.0,0.0,0.9,0.9,1.4,0.4,0.4,0.2,0.2,5.8,0.0,0.0,-1.8
Micah Peavy,NOP,Q1,3.8,1.2,0.4,1.0,40.0,0.4,0.8,50.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.0,0.2,0.0,0.6,2.6,0.0,0.0,-0.2
Sharife Cooper,WAS,Q1,4.0,1.2,0.6,1.2,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.4,0.0,0.0,0.2,1.8,0.0,0.0,-6.4
Svi Mykhailiuk,UTA,Q1,5.6,1.2,0.4,1.2,33.3,0.4,1.2,33.3,0.0,0.0,0.0,0.2,0.4,0.6,0.4,0.2,0.0,0.0,0.4,2.3,0.0,0.0,-1.2
Yanic Konan Niederhäuser,LAC,Q1,4.2,1.2,0.6,0.8,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.8,0.0,0.0,0.0,0.2,0.2,4.0,0.0,0.0,-1.2
Guerschon Yabusele,CHI,Q1,5.4,1.2,0.5,1.8,27.3,0.2,1.0,16.7,0.0,0.0,0.0,0.3,1.2,1.5,0.3,0.5,0.7,0.0,0.5,5.0,1.0,0.0,-2.3
Nikola Jović,MIA,Q1,3.9,1.2,0.3,1.5,22.2,0.0,0.8,0.0,0.5,1.0,50.0,0.0,0.5,0.5,0.0,0.2,0.0,0.0,0.2,1.6,0.0,0.0,0.7
Ronald Holland II,DET,Q1,4.3,1.1,0.5,1.1,44.4,0.0,0.4,0.0,0.1,0.3,50.0,0.1,0.8,0.9,0.3,0.3,0.0,0.1,0.5,2.7,1.0,0.0,1.9
Tristan da Silva,ORL,Q1,5.9,1.1,0.4,1.4,30.8,0.2,1.0,22.2,0.0,0.0,0.0,0.0,0.8,0.8,0.4,0.2,0.3,0.2,0.6,4.2,0.0,0.0,-1.0
Bruce Brown,DEN,Q1,4.0,1.1,0.5,1.0,50.0,0.1,0.3,33.3,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.2,0.0,0.5,2.5,0.0,0.0,1.0
Gradey Dick,TOR,Q1,4.3,1.1,0.2,1.2,16.7,0.1,0.4,25.0,0.6,0.6,100,0.3,0.8,1.1,0.2,0.3,0.4,0.0,0.3,3.6,0.0,0.0,-0.3
Jordan Goodwin,PHX,Q1,6.2,1.1,0.5,2.0,25.0,0.1,0.9,11.1,0.0,0.0,0.0,1.0,0.8,1.8,0.7,0.1,0.1,0.0,0.6,4.5,1.0,0.0,-0.2
Josh Green,CHA,Q1,4.4,1.1,0.4,0.9,44.4,0.3,0.6,50.0,0.0,0.0,0.0,0.2,0.5,0.7,0.4,0.3,0.1,0.1,0.1,2.8,0.0,0.0,1.9
Karlo Matković,NOP,Q1,4.3,1.1,0.5,1.3,38.5,0.1,0.6,16.7,0.0,0.0,0.0,0.2,0.7,0.9,0.3,0.1,0.3,0.2,0.3,4.0,0.0,0.0,-0.5
Andre Jackson Jr.,MIL,Q1,3.1,1.0,0.5,1.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,2.2,0.0,0.0,2.0
Ben Saraf,BKN,Q1,4.7,1.0,0.3,2.0,15.0,0.1,0.7,14.3,0.3,0.6,50.0,0.1,0.4,0.5,1.1,0.3,0.2,0.1,0.3,3.9,0.0,0.0,-1.7
Brooks Barnhizer,OKC,Q1,3.7,1.0,0.5,1.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,3.3,0.0,0.0,-3.0
Bryce McGowens,NOP,Q1,5.8,1.0,0.3,0.7,50.0,0.3,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.5,0.0,0.0,4.3
Drake Powell,BKN,Q1,4.9,1.0,0.3,1.2,27.3,0.2,0.9,25.0,0.1,0.2,50.0,0.2,0.4,0.7,0.1,0.3,0.0,0.0,0.7,1.6,0.0,0.0,-0.7
Jamir Watkins,WAS,Q1,5.7,1.0,0.3,1.6,21.4,0.0,0.9,0.0,0.3,0.7,50.0,0.1,0.8,0.9,0.1,0.2,0.4,0.0,0.8,3.3,0.0,0.0,-6.7
Jamison Battle,TOR,Q1,2.3,1.0,0.3,1.0,33.3,0.3,1.0,33.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.4,0.0,0.0,-2.3
Jarred Vanderbilt,LAL,Q1,4.2,1.0,0.4,1.1,36.4,0.1,0.6,16.7,0.1,0.2,50.0,0.4,1.0,1.4,0.3,0.2,0.6,0.0,0.3,4.7,0.0,0.0,3.0
John Konchar,UTA,Q1,4.9,1.0,0.3,0.8,40.0,0.0,0.5,0.0,0.3,0.3,100,0.2,0.5,0.7,0.7,0.2,0.2,0.2,0.0,3.6,0.0,0.0,5.5
Keshon Gilbert,WAS,Q1,3.8,1.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,1.0,100,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.5,1.2,0.0,0.0,-16.0
Kobe Brown,IND,Q1,4.9,1.0,0.5,2.0,25.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,1.5,0.0,0.5,0.0,0.0,1.0,2.3,0.0,0.0,0.0
Larry Nance Jr.,CLE,Q1,4.0,1.0,0.5,1.5,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.6,0.0,0.0,-5.5
Luke Kornet,SAS,Q1,5.8,1.0,0.5,0.9,57.1,0.0,0.0,0.0,0.0,0.3,0.0,0.8,1.0,1.8,1.0,0.0,0.3,0.1,0.0,5.7,0.0,0.0,1.8
Maxime Raynaud,SAC,Q1,6.0,1.0,0.5,0.8,62.5,0.0,0.1,0.0,0.0,0.0,0.0,0.5,1.6,2.1,0.2,0.2,0.1,0.2,0.5,4.5,2.0,0.0,-1.9
Ochai Agbaji,BKN,Q1,4.1,1.0,0.5,1.0,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.8,0.3,1.0,0.0,0.3,0.0,0.0,0.5,2.0,0.0,0.0,0.0
Ryan Kalkbrenner,CHA,Q1,4.8,1.0,0.5,0.7,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,1.0,0.3,0.4,0.2,0.3,0.3,3.8,0.0,0.0,0.1
Yang Hansen,POR,Q1,2.9,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,100,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,2.4,0.0,0.0,-1.0
Hugo González,BOS,Q1,5.1,0.9,0.4,1.2,33.3,0.0,0.6,0.0,0.1,0.2,50.0,0.2,0.9,1.1,0.0,0.1,0.1,0.0,0.6,2.4,0.0,0.0,2.0
Sidy Cissoko,POR,Q1,5.0,0.9,0.2,1.1,20.0,0.2,0.8,28.6,0.2,0.2,100,0.1,0.2,0.3,0.3,0.1,0.0,0.0,0.3,1.7,0.0,0.0,-2.2
Will Richard,GSW,Q1,4.6,0.9,0.3,0.7,50.0,0.2,0.6,40.0,0.0,0.0,0.0,0.3,0.2,0.6,0.7,0.1,0.8,0.0,0.3,4.8,0.0,0.0,-0.2
Anthony Gill,WAS,Q1,4.7,0.9,0.3,1.0,28.6,0.0,0.1,0.0,0.3,0.4,66.7,0.4,0.4,0.9,0.6,0.3,0.3,0.1,0.6,3.7,0.0,0.0,-1.9
Dean Wade,CLE,Q1,6.2,0.9,0.3,0.7,40.0,0.3,0.7,40.0,0.0,0.0,0.0,0.1,1.7,1.9,0.1,0.0,0.3,0.0,0.0,4.2,0.0,0.0,3.4
Quentin Grimes,PHI,Q1,4.9,0.8,0.2,1.2,14.3,0.0,0.5,0.0,0.5,0.5,100,0.2,0.8,1.0,0.3,0.2,0.0,0.0,0.3,2.4,0.0,0.0,-1.2
Dylan Cardwell,SAC,Q1,6.0,0.8,0.3,0.7,42.9,0.0,0.0,0.0,0.2,0.2,100,0.5,0.9,1.4,0.2,0.6,0.2,0.3,0.4,3.7,2.0,0.0,-3.9
Jordan Walsh,BOS,Q1,4.0,0.8,0.2,1.0,20.0,0.2,0.8,25.0,0.2,0.4,50.0,0.2,0.8,1.0,0.0,0.0,0.4,0.2,0.6,3.8,0.0,0.0,2.8
Kris Dunn,LAC,Q1,7.7,0.8,0.3,1.4,21.4,0.1,0.4,25.0,0.1,0.2,50.0,0.3,0.4,0.7,0.8,0.4,0.2,0.0,0.6,3.0,0.0,0.0,-2.4
Rayan Rupert,POR,Q1,3.7,0.8,0.4,1.0,40.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,1.0,1.2,0.4,0.2,0.8,0.0,0.0,5.0,0.0,0.0,-4.0
Isaiah Jackson,LAC,Q1,4.5,0.8,0.3,0.3,100,0.0,0.0,0.0,0.3,0.5,50.0,0.5,1.5,2.0,0.3,0.8,0.3,0.8,1.3,5.8,1.0,0.0,1.3
Ja'Kobe Walter,TOR,Q1,4.9,0.8,0.4,0.8,50.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.1,0.1,0.1,0.0,0.1,1.5,0.0,0.0,0.8
Mike Conley,MIN,Q1,5.6,0.8,0.3,1.5,16.7,0.3,1.0,25.0,0.0,0.0,0.0,0.0,0.3,0.3,0.8,0.0,0.0,0.3,0.5,2.9,0.0,0.0,-1.0
Nicolas Batum,LAC,Q1,4.1,0.8,0.3,0.6,40.0,0.3,0.6,40.0,0.0,0.0,0.0,0.0,0.8,0.8,0.1,0.3,0.0,0.1,0.4,2.0,0.0,0.0,-0.9
Tre Mann,CHA,Q1,2.3,0.8,0.3,0.5,50.0,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.0,1.3,0.0,0.0,1.3
Craig Porter Jr.,CLE,Q1,6.1,0.7,0.3,0.9,33.3,0.1,0.4,33.3,0.0,0.1,0.0,0.6,0.6,1.1,1.4,0.3,0.4,0.0,0.4,5.2,0.0,0.0,-2.6
Jared McCain,OKC,Q1,3.5,0.7,0.3,1.0,28.6,0.1,0.6,25.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.3,0.0,0.0,0.1,1.6,0.0,0.0,1.1
Asa Newell,ATL,Q1,4.3,0.7,0.2,0.7,25.0,0.0,0.2,0.0,0.3,0.3,100,0.5,0.3,0.8,0.2,0.3,0.3,0.0,0.3,2.6,0.0,0.0,-1.7
Christian Koloko,ATL,Q1,3.8,0.7,0.2,0.8,20.0,0.0,0.2,0.0,0.3,0.3,100,0.2,0.5,0.7,0.5,0.0,0.0,0.2,0.8,2.7,0.0,0.0,2.3
Joan Beringer,MIN,Q1,2.0,0.7,0.3,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.3,1.6,0.0,0.0,1.3
Lachlan Olbrich,CHI,Q1,3.1,0.7,0.3,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.3,1.7,0.0,0.0,0.0,0.0,0.3,2.7,0.0,0.0,-2.7
Ryan Dunn,PHX,Q1,3.5,0.7,0.3,1.1,30.0,0.0,0.3,0.0,0.0,0.0,0.0,0.2,0.6,0.8,0.1,0.0,0.2,0.0,0.4,2.4,0.0,0.0,-0.7
Jalen Wilson,BKN,Q1,3.3,0.6,0.2,1.0,20.0,0.2,0.6,33.3,0.0,0.0,0.0,0.2,0.2,0.4,0.4,0.0,0.4,0.0,0.2,2.9,0.0,0.0,-1.6
Moussa Cisse,DAL,Q1,2.5,0.6,0.2,0.6,33.3,0.0,0.0,0.0,0.2,0.4,50.0,0.2,0.2,0.4,0.0,0.0,0.0,0.2,0.6,1.7,0.0,0.0,-1.8
Zeke Nnaji,DEN,Q1,4.5,0.6,0.2,1.2,16.7,0.2,0.6,33.3,0.0,0.0,0.0,0.4,1.0,1.4,0.4,0.2,0.0,0.0,0.6,2.7,1.0,0.0,-1.6
Jamaree Bouyea,PHX,Q1,5.3,0.6,0.3,1.6,18.2,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.6,0.7,0.3,0.4,0.0,0.3,0.4,2.3,0.0,0.0,-3.7
Ariel Hukporti,NYK,Q1,4.6,0.5,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.3,1.5,0.0,0.0,0.0,0.5,0.5,3.8,0.0,0.0,-4.0
Maxi Kleber,LAL,Q1,4.9,0.5,0.3,0.5,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.0,0.5,0.0,0.0,1.5,0.6,0.0,0.0,2.0
Jalen Pickett,DEN,Q1,5.4,0.4,0.2,1.4,15.4,0.0,0.9,0.0,0.0,0.0,0.0,0.2,0.7,0.9,0.9,0.1,0.1,0.1,0.4,3.4,0.0,0.0,-1.8
Buddy Hield,ATL,Q1,3.6,0.3,0.2,1.3,12.5,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.2,0.0,0.3,0.3,2.3,0.0,0.0,-0.2
Tyus Jones,DAL,Q1,5.4,0.3,0.2,0.8,20.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.7,0.5,0.3,0.0,0.0,4.1,0.0,0.0,-1.5
Dorian Finney-Smith,HOU,Q1,4.2,0.3,0.1,1.0,14.3,0.0,0.7,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.1,0.3,0.1,0.0,0.4,1.2,0.0,0.0,-2.0
Jonathan Isaac,ORL,Q1,2.4,0.3,0.1,0.1,100,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.4,0.3,0.0,0.1,0.3,0.0,2.5,0.0,0.0,-0.1
Gary Harris,MIL,Q1,4.9,0.2,0.0,0.8,0.0,0.0,0.8,0.0,0.2,0.4,50.0,0.6,0.2,0.8,1.0,0.2,0.0,0.0,0.2,2.5,0.0,0.0,-3.4
Branden Carlson,OKC,Q1,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,6.6,0.0,0.0,-3.0
Goga Bitadze,ORL,Q1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunter Tyson,DEN,Q1,3.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,-6.0
Isaiah Stevens,SAC,Q1,5.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.7,0.0,0.0,-15.0
Javonte Cooke,POR,Q1,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
Jaylen Clark,MIN,Q1,2.6,0.0,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.4,0.7,0.0,0.0,0.8
Jeremiah Robinson-Earl,DAL,Q1,2.8,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,-3.0
Jonathan Mogbo,TOR,Q1,3.7,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.5,0.0,0.5,0.0,0.0,0.0,1.3,0.0,0.0,-6.0
Jose Alvarado,NYK,Q1,2.2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.1,0.3,0.1,0.0,0.4,0.8,0.0,0.0,1.3
Josh Minott,BKN,Q1,5.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.2,0.0,0.0,5.0
Kelly Olynyk,SAS,Q1,4.1,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,-4.0
Kevin McCullar Jr.,NYK,Q1,2.6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.0,3.6,0.0,0.0,0.0
Kyle Lowry,PHI,Q1,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,6.0
Lawson Lovering,MEM,Q1,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4.2,0.0,0.0,-1.0
Lonzo Ball,CLE,Q1,5.6,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.8,0.5,0.3,0.0,0.3,3.5,0.0,0.0,-4.5
Malaki Branham,WAS,Q1,3.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,1.0
