PLAYER,TEAM,Period,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Isaiah Collier,UTA,Q1,7.9,2.8,1.0,2.3,43.5,0.0,0.3,0.0,0.8,1.4,57.1,0.0,0.6,0.6,2.7,0.6,0.3,0.0,0.5,7.9,4.0,0.0,-2.8
Wendell Carter Jr.,ORL,Q1,7.6,2.8,1.2,2.8,42.9,0.2,1.1,18.2,0.2,0.2,100,0.6,1.9,2.5,0.6,0.4,0.2,0.0,0.8,6.9,0.0,0.0,-1.2
Chet Holmgren,OKC,Q1,7.2,2.8,1.0,2.7,37.5,0.2,1.2,18.2,0.6,0.8,71.4,0.0,2.0,2.0,0.4,0.2,0.1,0.2,0.3,6.6,6.0,0.0,1.1
Dylan Harper,SAS,Q1,6.2,2.8,1.0,1.8,56.3,0.2,0.4,50.0,0.6,0.7,83.3,0.1,0.8,0.9,0.7,0.2,0.1,0.2,0.2,5.6,0.0,0.0,1.7
Cole Anthony,PHX,Q1,3.8,2.8,1.0,1.5,66.7,0.3,0.3,100,0.5,0.5,100,0.0,0.3,0.3,0.5,1.0,0.0,0.3,0.5,3.6,0.0,0.0,2.3
Daeqwon Plowden,SAC,Q1,5.5,2.8,1.0,2.8,36.4,0.3,1.8,14.3,0.5,0.5,100,1.0,0.8,1.8,0.0,0.0,0.3,0.0,0.3,5.6,0.0,0.0,-3.3
Ousmane Dieng,MIL,Q1,5.5,2.8,1.0,1.5,66.7,0.5,0.5,100,0.3,0.5,50.0,0.3,1.8,2.0,0.8,0.0,0.0,0.0,0.0,6.3,1.0,0.0,3.5
Gary Payton II,GSW,Q1,4.0,2.7,1.1,2.0,57.1,0.4,0.9,50.0,0.0,0.0,0.0,0.1,0.3,0.4,0.4,0.3,0.4,0.0,0.4,4.9,0.0,0.0,-1.0
Naz Reid,MIN,Q1,5.8,2.7,1.0,2.4,41.7,0.5,1.5,33.3,0.2,0.2,100,0.1,1.4,1.5,0.5,0.3,0.3,0.2,0.5,6.5,0.0,0.0,1.4
Reed Sheppard,HOU,Q1,6.2,2.7,1.0,3.7,27.0,0.4,2.3,17.4,0.3,0.4,75.0,0.1,0.7,0.8,0.4,0.5,0.2,0.2,0.2,5.0,0.0,0.0,-0.6
Daniel Gafford,DAL,Q1,6.5,2.7,0.9,1.3,66.7,0.0,0.0,0.0,0.9,1.1,80.0,1.0,0.7,1.7,0.2,0.3,0.2,0.4,0.8,6.7,3.0,0.0,-5.9
Julian Strawther,DEN,Q1,4.1,2.7,1.0,1.8,56.3,0.3,0.8,42.9,0.3,0.3,100,0.0,0.4,0.4,0.0,0.0,0.2,0.0,0.4,3.9,0.0,0.0,-0.1
Kasparas Jakučionis,MIA,Q1,6.1,2.7,1.0,2.3,42.9,0.7,1.4,46.2,0.0,0.0,0.0,0.3,0.6,0.9,0.9,0.3,0.6,0.1,0.6,6.7,0.0,0.0,-0.2
Moussa Diabaté,CHA,Q1,7.1,2.7,1.1,1.3,83.3,0.0,0.0,0.0,0.4,0.6,80.0,0.8,1.8,2.6,0.4,0.1,0.2,0.0,0.0,7.0,4.0,0.0,2.1
Scotty Pippen Jr.,MEM,Q1,5.1,2.7,1.0,1.7,60.0,0.3,0.3,100,0.3,0.7,50.0,0.0,0.3,0.3,1.0,0.0,0.3,0.3,0.7,6.6,0.0,0.0,0.3
Bobby Portis,MIL,Q1,6.5,2.6,1.0,2.9,34.8,0.6,1.3,50.0,0.0,0.0,0.0,0.5,1.1,1.6,0.4,0.5,0.3,0.0,0.8,5.4,2.0,0.0,-2.1
Jay Huff,IND,Q1,5.7,2.6,0.9,2.1,41.2,0.6,1.5,41.7,0.3,0.3,100,0.4,0.6,1.0,0.8,0.1,0.1,0.4,0.6,6.3,0.0,0.0,-1.1
Jaime Jaquez Jr.,MIA,Q1,6.8,2.6,1.3,3.4,38.2,0.0,0.7,0.0,0.0,0.0,0.0,0.8,1.0,1.8,1.0,0.4,0.1,0.2,0.1,6.8,1.0,0.0,0.6
Javon Small,MEM,Q1,4.7,2.6,1.0,1.6,62.5,0.2,0.4,50.0,0.4,0.4,100,0.4,0.6,1.0,0.6,0.0,0.0,0.0,0.2,4.7,0.0,0.0,-0.6
Kenrich Williams,OKC,Q1,4.9,2.6,0.9,2.0,45.0,0.4,0.7,57.1,0.4,0.6,66.7,0.7,0.5,1.2,0.3,0.1,0.3,0.0,0.2,5.3,0.0,0.0,-0.2
Will Riley,WAS,Q1,5.5,2.6,0.9,2.2,40.9,0.3,0.8,37.5,0.5,0.6,83.3,0.0,0.2,0.2,0.4,0.1,0.3,0.1,0.2,4.5,0.0,0.0,-5.3
AJ Green,MIL,Q1,9.6,2.6,0.9,2.3,38.1,0.7,2.1,31.6,0.1,0.1,100,0.1,0.8,0.9,0.6,0.1,0.3,0.1,0.3,5.7,0.0,0.0,-0.1
Caleb Martin,DAL,Q1,7.0,2.6,1.0,1.7,60.0,0.2,0.4,50.0,0.3,0.4,75.0,0.2,1.3,1.6,1.0,0.6,0.1,0.3,0.3,6.7,0.0,0.0,-5.1
Precious Achiuwa,SAC,Q1,6.2,2.6,1.1,2.9,38.5,0.1,0.7,16.7,0.2,0.2,100,1.0,1.0,2.0,0.1,0.1,0.3,0.3,0.4,7.0,0.0,0.0,-2.4
