"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Noah Penda","Orl","*","G-F","21.1","38","13.7","16.5","17.2","39","0.641","89","0.472","65","0.385","0.516","0.538","4.8","3.7","1.2","0.6","0.4","0.8","8.6","6","9.7","8.1","112.5","106.7"
"","Tolu Smith","Det","*","F","25.6","6","11.7","18.3","21.4","18","0.722","18","0.444","0","0","0.444","0.559","4.8","5.2","1","0.3","0.8","0.8","10","5.8","11","10","122.5","96.4"
"","Gabe Vincent","Lal","","G","29.7","29","19.3","11.4","8.4","11","0.909","27","0.259","103","0.369","0.492","0.512","4.8","0.9","1.3","0.5","0","0.4","5.7","6","7","3.7","109.9","113.4"
"","Jett Howard","Orl","*","G","22.4","33","10.4","18.9","4.9","23","0.913","50","0.48","86","0.337","0.496","0.534","4.7","1.3","0.8","0.2","0.1","0.2","6","5.5","6.8","6.5","116","111"
"","Justin Edwards","Phi","*","F","22.2","41","14.4","14.7","12.3","23","0.913","61","0.508","110","0.336","0.506","0.536","4.7","1.5","1.1","0.7","0.2","0.6","6.3","5.8","7.3","5.5","110.2","109"
"","Craig Porter","Cle","*","G","26","49","17.9","12.2","17.6","33","0.545","132","0.5","69","0.377","0.522","0.529","4.7","3.4","3.2","1","0.6","0.9","8.1","7.8","11.2","8.3","122.9","111.4"
"","Josh Green","Cha","*","G","25.2","31","16.1","10.9","15.4","16","0.875","29","0.517","75","0.44","0.62","0.644","4.6","1.9","1","0.6","0.1","0.6","6.5","5.6","7.5","5.1","127.9","112.8"
"","Malaki Branham","Was","*","F","22.8","28","9.8","18.3","14.1","34","0.824","54","0.537","37","0.378","0.549","0.604","4.6","1.6","0.8","0.4","0.1","0.5","6.1","5.4","7","7.4","119","118.5"
"","Jeremiah Robinson-Earl","Ind","","F","25.3","17","17.6","14","10.7","14","0.929","50","0.42","33","0.242","0.398","0.443","4.6","5.2","0.7","0.4","0.1","0.6","9.8","5.4","10.5","5.8","104.7","112.1"
"","Dalton Knecht","Lal","*","F","24.8","43","11.4","17.5","10","20","0.7","72","0.639","98","0.306","0.535","0.548","4.6","1.5","0.3","0.2","0.2","0.4","6.1","4.9","6.4","4.5","105.8","113.2"
"","Lonzo Ball","Cle","*","G","28.3","35","20.8","13.5","22.8","21","0.667","29","0.448","147","0.272","0.415","0.432","4.6","4","3.9","1.3","0.3","1.5","8.6","8.5","12.5","8","100.3","110"
"","DeAndre Jordan","Nor","*","C","37.6","2","11.7","12.3","16.1","2","0.5","5","0.8","0","0","0.8","0.765","4.5","5","0","0","0","0.5","9.5","4.5","9.5","0","144.8","116.5"
"","Terrence Shannon Jr.","Min","*","G-F","25.5","22","12.8","16.1","15.6","27","0.778","44","0.386","37","0.405","0.488","0.538","4.5","1.3","0.6","0.3","0","0.7","5.8","5.2","6.5","4.7","103.8","108.7"
"","Jeremiah Robinson-Earl","Dal","*","F","25.3","5","12.2","14.3","10.3","4","1","9","0.667","8","0.25","0.529","0.586","4.4","3","0.6","0.4","0","0.4","7.4","5","8","6.5","121.7","111.6"
"","Mike Conley","Min","*","G","38.3","44","18.5","11.5","13.8","46","0.891","43","0.326","131","0.321","0.443","0.502","4.4","1.8","2.9","0.6","0.3","0.6","6.2","7.3","9.1","6.1","118.2","110.9"
"","Nicolas Batum","Lac","*","G-F","37.2","51","19.4","10","15.6","11","0.818","9","0.444","175","0.394","0.584","0.593","4.4","2.6","0.8","0.7","0.4","0.7","7","5.2","7.8","4.3","110.4","111.8"
"","Kevin Huerter","Det","*","G-F","27.5","4","12","18.2","9.5","0","0","10","0.7","9","0.111","0.447","0.447","4.3","1.8","0.8","0.8","0.3","0.5","6","5","6.8","6.1","96.4","103.1"
"","Skal Labissiere","Was","*","F-C","29.9","3","12.5","12.2","9.1","0","0","5","1","5","0.2","0.65","0.65","4.3","3","1","0.7","0.3","0.3","7.3","5.3","8.3","7.5","135.4","115.7"
"","Micah Peavy","Nor","*","G-F","24.6","46","15.1","14.5","6","15","0.733","132","0.477","88","0.239","0.43","0.441","4.3","2","1","0.7","0.1","0.3","6.3","5.4","7.4","5.4","104","113.6"
"","Dereck Lively II","Dal","*","C","22","7","16.5","11.8","35.3","10","0.8","18","0.611","0","0","0.611","0.67","4.3","5.3","1.9","0.6","1.6","1.4","9.6","6.1","11.4","8.5","122.1","96.9"
"","Jordan Hawkins","Nor","*","G","23.8","36","13.8","17","11.3","18","0.778","76","0.342","96","0.313","0.413","0.434","4.3","1.7","0.8","0.2","0.2","0.6","6.1","5.1","6.8","5.2","90.9","120.8"
"","Ochai Agbaji","Tor","","G","25.8","42","15.5","13.2","10","29","0.862","105","0.571","65","0.185","0.459","0.495","4.3","2.3","0.7","0.4","0.3","0.5","6.6","5","7.3","4.9","106.7","106.6"
"","Myron Gardner","Mia","*","F","24.7","26","9.8","15.6","6.6","18","0.722","39","0.538","45","0.4","0.571","0.593","4.2","3","1","0.5","0.2","0.2","7.2","5.2","8.2","9.5","133.4","95.3"
"","Zeke Nnaji","Den","*","F-C","25.1","39","12.8","14.2","14.5","40","0.825","83","0.59","40","0.275","0.533","0.583","4.2","2.8","0.5","0.3","0.5","0.5","7","4.7","7.5","5.6","117.2","109.3"
"","Trayce Jackson-Davis","Gol","","F","26","36","11.4","14.7","15","52","0.558","101","0.584","1","1","0.593","0.601","4.2","3.1","0.9","0.4","0.5","0.5","7.3","5.1","8.2","8","127.2","106.9"
"","Adem Bona","Phi","*","F","22.9","45","16.3","10.6","22.2","71","0.676","114","0.588","5","0.4","0.588","0.626","4.2","3.9","0.2","0.4","1.3","0.8","8.1","4.4","8.3","3.6","123.2","105.8"
