"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Jonathan Isaac","Orl","*","F","28.4","44","10","12.7","14.5","50","0.64","58","0.586","36","0.194","0.473","0.522","2.8","2.5","0.4","0.4","0.6","0.4","5.3","3.1","5.6","5.6","111.9","108.7"
"","Jamal Cain","Orl","*","F","26.9","19","7","16.9","15.4","18","0.833","19","0.474","19","0.316","0.474","0.555","2.7","0.7","0.3","0.2","0.1","0.4","3.4","3","3.7","4.7","110.7","103.2"
"","Mohamed Diawara","Nyk","*","F","20.8","45","7.1","16","12.7","6","0.5","40","0.525","63","0.413","0.583","0.582","2.7","1.2","0.5","0.2","0.1","0.3","3.9","3.3","4.4","6.6","114","107.4"
"","Ron Harper Jr.","Bos","*","G-F","25.8","10","10.6","13.4","3.1","2","0.5","7","0.571","24","0.25","0.419","0.423","2.7","2.1","0.8","0.1","0.4","0.1","4.8","3.5","5.6","6.2","115.6","110.6"
"","Jae'Sean Tate","Hou","*","F","30.3","32","8.3","13.5","12","7","0.571","51","0.588","22","0.318","0.555","0.559","2.7","1.5","0.5","0.3","0.1","0.3","4.1","3.2","4.6","6.1","120","103.7"
"","Guerschon Yabusele","Nyk","","F","30.2","41","8.9","14.7","12.3","12","0.667","39","0.564","68","0.294","0.486","0.499","2.7","2.1","0.4","0.1","0.1","0.4","4.9","3.2","5.3","5.9","107.1","106.5"
"","Christian Koloko","Mem","","C","25.7","11","17.7","9.3","16.6","4","0.25","34","0.412","1","0","0.4","0.394","2.6","4","0.9","0.9","1.2","0.6","6.6","3.5","7.5","4.8","99.8","107.6"
"","Alijah Martin","Tor","*","G","24.1","13","7.5","17.7","8.5","12","0.833","20","0.45","12","0.167","0.375","0.456","2.6","1.1","0.6","0.5","0.2","0.2","3.7","3.2","4.3","6.4","106.7","106.4"
"","Rasheer Fleming","Pho","*","F","21.6","30","7","19.6","9.7","11","0.727","36","0.5","47","0.234","0.416","0.438","2.6","1.3","0.2","0.2","0.2","0.3","3.9","2.8","4.1","5","99.6","109"
"","Leonard Miller","Chi","*","F","22.2","2","4.7","10.9","0","1","1","2","1","0","0","1","1.025","2.5","1.5","0","0.5","0","0","4","2.5","4","0","213.4","101.3"
"","John Konchar","Uta","*","G","29.9","4","19.5","9.2","6.1","3","0.667","7","0.571","8","0","0.267","0.306","2.5","3.8","2","1.3","1","0.3","6.3","4.5","8.3","5.5","102.7","112.4"
"","Gary Harris","Mil","*","G","31.4","38","14.6","7.5","17.7","9","0.889","27","0.481","47","0.426","0.581","0.603","2.5","1.4","1.1","0.6","0.2","0.4","3.9","3.6","5","4.3","120.6","114.7"
"","Elijah Harkless","Uta","*","G","26","7","9.4","11.3","20.9","9","0.778","4","0.5","7","0.286","0.455","0.568","2.4","0.9","0.7","0.6","0","0.4","3.3","3.1","4","4.9","114.2","110.4"
"","Taelon Peter","Ind","*","G","24","24","8.1","15.3","14.6","6","0.667","5","0.6","53","0.302","0.466","0.478","2.4","1.2","1","0.4","0.1","0.4","3.6","3.4","4.5","7","100.2","114.7"
"","Amir Coffey","Mil","","G-F","28.7","30","8.8","11","6.7","15","0.867","30","0.633","25","0.28","0.536","0.584","2.4","0.9","0.4","0.1","0.1","0.1","3.3","2.8","3.6","4.3","122.2","119.2"
"","Anthony Gill","Was","*","F","33.3","28","8.1","11.7","17.1","12","0.833","35","0.629","13","0.308","0.583","0.619","2.4","1.7","0.3","0.4","0.2","0.4","4","2.7","4.4","5.3","120.2","114.3"
"","Maxi Kleber","Lal","*","F","34","29","11.5","9.6","18.4","20","0.7","32","0.531","21","0.286","0.491","0.534","2.3","1.9","0.7","0.4","0.2","0.4","4.2","3","4.9","5","117.9","106.8"
"","Jeff Green","Hou","*","F","39.5","18","4.5","17.1","3","1","1","9","0.556","23","0.435","0.625","0.632","2.3","0.6","0.2","0.1","0.1","0.1","2.8","2.4","3","5.8","135.3","112.4"
"","Luke Travers","Cle","*","F","24.4","12","8.6","17.3","7.6","9","1","20","0.4","16","0.063","0.264","0.35","2.3","2","0.8","0.6","0.3","0.3","4.3","3.1","5.1","7.2","96","110.5"
"","Caleb Houstan","Atl","*","G","23.1","10","4.9","17.2","20.6","3","1","3","0.333","12","0.5","0.667","0.705","2.3","0.5","0.2","0.1","0.1","0.4","2.8","2.5","3","5","118.1","112.2"
"","Leonard Miller","Min","","F","22.2","19","5","20.7","21.3","11","0.636","21","0.81","12","0.083","0.561","0.581","2.3","1.3","0.3","0.2","0","0.5","3.6","2.6","3.9","7.7","104.2","101.9"
"","Chris Boucher","Bos","*","F","33.1","9","10.5","12.7","3.8","4","0.75","10","0.6","15","0.133","0.36","0.392","2.3","2","0.3","0.6","0.8","0.1","4.3","2.7","4.7","4.2","94.5","94.2"
"","Hunter Tyson","Den","*","F","25.7","21","7.7","17","8.7","13","0.846","19","0.368","33","0.212","0.337","0.398","2.2","1.7","0.8","0.1","0","0.2","3.9","3","4.7","7.5","95.9","111.5"
"","JD Davison","Hou","*","G","23.4","24","7.4","14.5","12","9","0.556","24","0.5","27","0.296","0.471","0.482","2.2","0.9","1.1","0.2","0.2","0.3","3.1","3.3","4.2","7","112.5","108.4"
"","E.J. Liddell","Bro","*","F","25.2","10","4.9","16.4","0","3","0.667","6","0.667","11","0.364","0.588","0.6","2.2","1.1","0","0.1","0","0","3.3","2.2","3.3","0","127.6","112.7"
"","Isaiah Livers","Pho","*","F","27.5","29","10.1","9.8","18.7","10","0.7","17","0.588","35","0.343","0.538","0.559","2.2","1.9","0.7","0.4","0.2","0.4","4.1","2.9","4.8","5.7","116.1","108.4"
"","Bronny James","Lal","*","G","21.4","29","7.3","15.7","18.8","5","0.8","33","0.394","27","0.407","0.492","0.506","2.2","0.5","1.2","0.4","0.1","0.5","2.7","3.4","3.9","6","105.4","113.4"
"","Yang Hansen","Por","*","C","20.6","34","7.5","19.2","25.6","20","0.95","47","0.426","37","0.135","0.327","0.399","2.2","1.6","0.6","0.1","0.2","0.9","3.8","2.8","4.4","6.8","80.9","104.3"
"","Jordan McLaughlin","San","*","G","29.8","25","6.2","15.8","16","5","0.8","23","0.435","24","0.417","0.532","0.549","2.2","0.7","0.8","0.5","0","0.4","2.8","2.9","3.6","6.9","109.6","107.7"
"","Xavier Tillman","Bos","","F","27.1","14","8","14","13.9","0","0","16","0.688","15","0.2","0.5","0.5","2.2","1.8","0.4","0.4","0.1","0.4","4","2.6","4.4","5.8","108.5","107.6"
"","Kevin McCullar Jr.","Nyk","*","G","24.9","16","7.7","15.9","24.9","5","0.4","16","0.438","17","0.353","0.485","0.483","2.1","1.5","1.2","0.4","0","0.7","3.6","3.3","4.8","8.1","101.9","100.5"
"","Jahmir Young","Mia","*","G","25.4","8","5.5","19.8","9.3","1","1","12","0.417","7","0.286","0.421","0.437","2.1","0.5","0.8","0.1","0","0.3","2.6","2.9","3.4","6.9","99.2","110.4"
"","Ariel Hukporti","Nyk","*","C","23.8","39","9.3","10","28.3","26","0.731","49","0.592","4","0.25","0.575","0.621","2.1","2.9","0.5","0.1","0.5","0.5","5","2.6","5.5","6.2","121.4","100.8"
"","Nikola Topic","Okc","*","G","20.5","1","12.4","20.9","50","0","0","1","1","2","0","0.333","0.333","2","1","1","0","0","3","3","3","4","4.1","40.7","116.8"
"","Charles Bassey","Phi","*","C-F","25.3","1","4.6","9.2","0","0","0","1","1","0","0","1","1","2","0","0","0","1","0","2","2","2","0","200","125.4"
"","Gabe Vincent","Atl","*","G","29.7","1","19.2","13.1","0","0","0","2","0.5","4","0","0.167","0.167","2","1","4","3","0","0","3","6","7","4.2","82.6","112.9"
"","Keshon Gilbert","Was","*","G","22.6","3","16.1","10.1","57.5","4","1","2","0.5","2","0","0.25","0.521","2","1.7","1","0.7","1.3","2","3.7","3","4.7","3.7","72.2","121.6"
"","Tristan Enaruna","Cle","*","F","24.6","3","4.9","17","0","0","0","5","0.6","1","0","0.5","0.5","2","2","0.7","0","0","0","4","2.7","4.7","11.5","149.6","123.3"
"","LJ Cryer","Gol","*","G","24.3","3","2.6","26.8","0","0","0","1","0","4","0.5","0.6","0.6","2","0.3","0","0","0","0","2.3","2","2.3","0","0","0"
"","Oscar Tshiebwe","Uta","*","F-C","26.2","3","9.9","10.3","14.3","1","0","6","0.5","0","0","0.5","0.466","2","3","1.7","0.3","0","0.3","5","3.7","6.7","8.8","131.1","115.3"
"","Vladislav Goldin","Mia","*","C","24.8","2","4.2","9.7","0","0","0","2","1","0","0","1","1","2","0.5","1","0","0.5","0","2.5","3","3.5","9.5","208.3","81"
"","Trentyn Flowers","Chi","*","F","20.9","2","2.8","30.1","25","0","0","2","1","1","0","0.667","0.667","2","0.5","0.5","0","0","0.5","2.5","2.5","3","11.3","0","0"
"","Isaac Jones","Det","*","F","25.6","1","1.3","63.6","0","0","0","1","1","1","0","0.5","0.5","2","0","0","0","0","0","2","2","2","0","0","0"
"","Wendell Moore Jr.","Det","*","G","24.4","5","10.9","6.7","11.8","2","1","6","0.667","1","0","0.571","0.635","2","1.2","0.6","0.4","0.4","0.2","3.2","2.6","3.8","4.1","131.7","114.6"
"","Colby Jones","Det","*","G","23.7","1","6.8","18.2","0","0","0","1","1","2","0","0.333","0.333","2","4","2","0","0","0","6","4","8","14.8","105.6","85.2"
"","Johnny Juzang","Min","*","G","24.9","21","4.2","22.3","11.6","8","0.625","14","0.714","24","0.25","0.5","0.518","2","0.8","0.3","0.1","0","0.2","2.9","2.3","3.1","7.5","105.5","114.4"
"","Hunter Dickinson","Nor","*","C","25.2","1","4.7","35.6","50","0","0","2","0.5","0","0","0.5","0.5","2","0","0","0","1","2","2","2","2","0","42.9","82.6"
"","Chris Youngblood","Okc","*","G","24","32","5.4","16.5","3.2","10","0.9","9","0.444","51","0.314","0.467","0.505","2","0.9","0.3","0.1","0.1","0.1","2.9","2.4","3.3","6","114.7","101.3"
"","Lindy Waters III","San","*","F","28.5","28","6.8","12.9","6.8","1","1","7","0.571","47","0.319","0.491","0.496","1.9","0.8","0.4","0.1","0","0.1","2.7","2.3","3.1","5","104.9","107.7"
"","Bobi Klintman","Det","*","F","22.9","9","7.1","19.7","17.2","3","0","12","0.333","12","0.25","0.354","0.336","1.9","1.9","0.4","0.3","0","0.6","3.8","2.3","4.2","6.4","76","93.5"
"","Mason Plumlee","Cha","*","F-C","35.9","14","8.9","8.9","42.3","12","0.667","12","0.75","0","0","0.75","0.752","1.9","2.9","1.1","0.4","0","0.6","4.7","3","5.9","8.2","128.2","106"
"","PJ Hall","Mem","","C","24","7","3.8","17.6","9.7","3","0.667","6","0.667","3","0.333","0.611","0.63","1.9","1.3","0.3","0","0.3","0.1","3.1","2.1","3.4","9.5","0","0"
"","Dillon Jones","Nyk","*","F","24.3","4","5.3","13.5","0","4","1","2","0","3","0.333","0.3","0.518","1.8","1.3","0.8","0.5","0","0","3","2.5","3.8","9.3","148.1","97.6"
"","Cody Martin","Ind","*","F","30.4","4","13.8","12.8","28.1","6","0.5","5","0.4","5","0","0.2","0.277","1.8","3.5","0.5","1","0.5","1","5.3","2.3","5.8","4.2","54.8","106.3"
"","Orlando Robinson","Orl","*","C","25.6","4","6.2","8.5","0","0","0","3","0.667","2","0.5","0.7","0.7","1.8","1","0.8","0.3","0","0","2.8","2.5","3.5","7.3","167.6","106.7"
"","Harrison Ingram","San","*","F","23.2","4","3.2","13","0","0","0","3","0.667","1","1","0.875","0.875","1.8","0.8","0","0","0","0","2.5","1.8","2.5","0","0","0"
"","Kyle Lowry","Phi","*","G","39.9","7","8.9","9.3","16.2","4","0.75","0","0","10","0.3","0.45","0.51","1.7","0.6","1.1","0.3","0.1","0.3","2.3","2.9","3.4","4.7","114.2","116.8"
"","Jacob Toppin","Atl","*","F","25.8","5","3.4","14.8","0","0","0","6","0.667","0","0","0.667","0.667","1.6","0.4","0.2","0","0.2","0","2","1.8","2.2","5.9","0","0"
"","Amari Williams","Bos","*","F-C","24","14","8","10.5","26.9","12","0.667","16","0.438","0","0","0.438","0.517","1.6","2.1","0.4","0.1","0.6","0.4","3.6","2","4.1","5.5","105.9","101"
"","Brooks Barnhizer","Okc","*","G","24","29","7.6","10.9","13.1","6","0.667","30","0.433","16","0.313","0.446","0.463","1.6","1.8","0.6","0.2","0.1","0.2","3.3","2.1","3.9","6.3","105.1","101.7"
"","Curtis Jones","Den","*","G","24.4","6","5.1","21.4","6.7","0","0","5","0.6","9","0.111","0.321","0.321","1.5","0.8","0.5","0","0","0.2","2.3","2","2.8","6.6","79.1","112.5"
"","Adou Thiero","Lal","*","G","21.8","17","5.8","12.4","16.4","9","0.778","19","0.474","1","0","0.45","0.522","1.5","1.1","0.3","0.3","0.1","0.2","2.5","1.8","2.8","5.5","113.4","103.6"
"","Tyson Etienne","Bro","*","G","20","8","4.3","20.2","6.3","0","0","2","0","13","0.308","0.4","0.4","1.5","0","0.1","0","0","0.1","1.5","1.6","1.6","0","81.5","111.6"
"","Andre Jackson Jr.","Mil","*","G","24.3","26","6.5","15.4","16.5","10","0.9","19","0.368","26","0.192","0.322","0.385","1.5","0.9","0.9","0.2","0.1","0.3","2.4","2.4","3.3","6.6","97.6","106.2"
"","Lachlan Olbrich","Chi","*","C","22.1","17","7.1","10.2","15.9","10","0.4","14","0.5","7","0.286","0.476","0.472","1.4","2.2","0.7","0.1","0.1","0.2","3.6","2.1","4.4","7.3","118.5","101.5"
"","Isaiah Crawford","Hou","*","F","24.3","5","5.6","9","0","0","0","2","1","4","0.25","0.583","0.583","1.4","0.4","0.4","0.4","0.4","0","1.8","1.8","2.2","4.3","139.4","117"
"","Javonte Cooke","Por","*","G","26.6","16","5.2","21.8","20.3","2","1","16","0.375","19","0.158","0.3","0.321","1.4","0.9","0.4","0.4","0","0.6","2.4","1.9","2.8","6.1","68.6","110.3"
"","Khaman Maluach","Pho","*","C","19.4","23","4.7","15.1","29.1","10","0.9","18","0.611","6","0","0.458","0.546","1.3","1.1","0.1","0","0.4","0.4","2.5","1.5","2.6","4.5","95.8","101.1"
"","Nigel Hayes-Davis","Pho","*","F","31.2","27","7.2","12.1","14.8","4","0.5","30","0.433","16","0.125","0.348","0.356","1.3","1.2","0.3","0.3","0.1","0.3","2.5","1.5","2.7","4.3","83.8","110.5"
"","Jonathan Mogbo","Tor","*","F","24.3","23","6","11.1","17.6","5","0.4","28","0.5","0","0","0.5","0.497","1.3","1.6","0.4","0.2","0.2","0.3","2.9","1.7","3.3","6.3","108.9","106.1"
"","Malevy Leons","Gol","*","F","26.4","5","4.2","17.8","23.7","2","1","4","0.5","2","0","0.333","0.436","1.2","1.8","0.2","0.2","0","0.4","3","1.4","3.2","7.2","88.9","106.1"
"","Thanasis Antetokounmpo","Mil","*","F","33.6","19","3","17.8","16.4","11","0.545","14","0.571","1","0","0.533","0.554","1.2","0.7","0.1","0.3","0.2","0.2","1.8","1.3","1.9","5.8","0","0"
"","Hunter Sallis","Phi","*","G","22.9","7","3.7","17.9","48.9","2","0.5","5","0.6","0","0","0.6","0.595","1","0.1","0.6","0","0.1","0.7","1.1","1.6","1.7","4.2","0","0"
"","Isaac Jones","Sac","","F","25.6","3","5.6","7.3","0","2","0.5","1","1","1","0","0.5","0.521","1","0.7","0.3","0","0","0","1.7","1.3","2","4.2","145.8","104.8"
"","Dario Saric","Sac","*","F-C","31.9","5","8.3","9.2","23.7","2","1","3","0","3","0.333","0.25","0.363","1","1.2","0.4","0","0","0.4","2.2","1.4","2.6","3.8","77.7","119.2"
"","Johni Broome","Phi","*","F","23.6","11","5","22.9","11.1","6","0.333","19","0.211","5","0","0.167","0.188","0.9","1.5","0.4","0.3","0.2","0.3","2.4","1.3","2.7","6.5","62.2","103.5"
"","Trey Jemison","Nyk","*","C","26.2","10","5.7","9.3","40.2","1","1","7","0.571","0","0","0.571","0.605","0.9","1.5","0.2","0.1","0.2","0.5","2.4","1.1","2.6","4.5","101.2","104.5"
"","Drew Peterson","Cha","*","F","26.3","6","10.7","11","0","2","0.5","4","0.5","12","0","0.125","0.148","0.8","1.5","0.3","0.5","0.2","0","2.3","1.2","2.7","2.7","57.6","113.9"
"","N'Faly Dante","Atl","*","C","24.3","4","3.9","14.8","18.4","1","1","4","0.25","0","0","0.25","0.338","0.8","1.8","0","0.5","0","0.3","2.5","0.8","2.5","0","0","0"
"","Pacome Dadiet","Nyk","*","F","20.6","20","3.4","9.7","0","6","1","5","0.4","8","0.125","0.269","0.416","0.7","0.7","0.5","0.2","0","0","1.4","1.1","1.8","7.4","0","0"
"","Bismack Biyombo","San","*","C","33.5","14","5.6","6.9","40.9","2","0.5","7","0.571","0","0","0.571","0.571","0.6","0.9","0.2","0.2","0.1","0.4","1.5","0.9","1.7","3.4","91.5","97.1"
"","Joe Ingles","Min","*","F-G","38.4","19","4","8.8","45.3","2","1","2","0.5","6","0.333","0.5","0.563","0.5","0.4","0.8","0.4","0","0.4","0.9","1.3","1.7","5.4","99.1","107.1"
"","Chris Manon","Lal","*","G","24.2","5","4.3","5.8","41","2","1","0","0","1","0","0","0.532","0.4","0.8","0.2","0.6","0.4","0.2","1.2","0.6","1.4","3.7","107.4","98.8"
"","Garrett Temple","Tor","*","G-F","39.8","13","2.8","13","29.4","2","0.5","2","0","5","0.2","0.214","0.254","0.3","0.3","0.3","0.2","0.1","0.2","0.6","0.6","0.9","4.3","0","0"
"","Jahmyl Telfort","Lac","*","G","24.8","8","4","9.4","19.6","4","0.25","0","0","4","0","0","0.087","0.1","0.4","0.1","0.1","0","0.1","0.5","0.3","0.6","1.6","26.6","104.3"
"","Dalen Terry","Phi","*","F","23.6","1","6.8","18.7","33.3","0","0","1","0","1","0","0","0","0","1","1","0","0","1","1","1","2","0","21.2","121.1"
"","Ochai Agbaji","Bro","*","G","25.8","1","16.5","7.9","0","0","0","3","0","0","0","0","0","0","6","2","0","1","0","6","2","8","0","92.8","122.6"
"","Xavier Tillman","Cha","*","F","27.1","1","1.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Patrick Baldwin Jr.","Phi","*","F","23.2","1","2.3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Buddy Hield","Atl","*","G","33.2","1","4.6","18.2","50","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","127.3"
"","Jevon Carter","Orl","*","G","30.4","1","4.2","30.2","0","0","0","1","0","2","0","0","0","0","1","0","0","0","0","1","0","1","0","0","117.6"
"","Enrique Freeman","Min","*","F","25.5","2","4","0","0","0","0","0","0","0","0","0","0","0","1.5","0","0","0.5","0","1.5","0","1.5","0","0","111.9"
"","AJ Johnson","Dal","*","G","21.2","3","3.7","19.1","0","0","0","3","0","2","0","0","0","0","0.3","0.3","0","0","0","0.3","0.3","0.7","0","0","0"
"","Max Shulga","Bos","*","G","23.6","1","1.7","25.4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Stanley Umude","San","*","G","26.8","1","2.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","RayJ Dennis","Atl","*","G","24.9","1","4.9","8.5","0","0","0","0","0","1","0","0","0","0","0","4","1","0","0","0","4","4","0","134.2","93.6"
"","Mo Bamba","Tor","*","C","27.8","2","3","14.5","0","0","0","2","0","0","0","0","0","0","1","0","0","0.5","0","1","0","1","0","0","0"
"","RayJ Dennis","Lac","","G","24.9","1","3.5","12.7","100","0","0","0","0","0","0","0","0","0","2","0","0","0","1","2","0","2","0","0","0"
"","Chucky Hepburn","Tor","*","G","23","2","6.6","22.6","14.3","0","0","1","0","5","0","0","0","0","0.5","1","0.5","0","0.5","0.5","1","1.5","0","19.4","100.4"
"","Tosan Evbuomwan","Nyk","*","F","25","5","1.5","5.5","0","0","0","1","0","0","0","0","0","0","0.4","0","0","0","0","0.4","0","0.4","0","0","0"
"","Noa Essengue","Chi","*","F","19.2","2","3","21.1","0","0","0","1","0","2","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0"
"","Christian Koloko","Lal","","C","25.7","2","3.2","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0.5","0","0.5","0","0","0"

